ISSN;Título;Estrato;Hindex5;Hindex SJR;JIF;5 JIF;Eigenfactor;Article influence;
1677-941X;ACTA BOTANICA BRASILICA;A1;12;0;0.65;0.84;0.0014;0.226;
1982-0194;ACTA PAUL DE ENFERM;A1;0;0;0.433;0.536;0.00076;0.09;
0103-2100;ACTA PAULISTA DE ENFERMAGEM (UNIFESP. IMPRESSO);A1;26;0;0.433;0.536;0.00077;0.09;
0335-5322;ACTES DE LA RECHERCHE EN SCIENCES SOCIALES;A1;15;10;0.205;0.354;0.00072;0.312;
1809-4422;AMBIENTE & SOCIEDADE (ONLINE);A1;13;0;0;0;0;0;
1414-753X;AMBIENTE E SOCIEDADE (CAMPINAS);A1;13;10;0;0;0;0;
0003-2573;ANÁLISE SOCIAL;A1;10;10;0;0;0;0;
1068-2341;ARCHIVOS ANALÍTICOS DE POLÍTICAS EDUCATIVAS / EDUCATION POLICY ANALYSIS ARCHIVES;A1;24;36;0;0;0;0;
1414-4077;AVALIAÇÃO: REVISTA DA AVALIAÇÃO DA EDUCAÇÃO SUPERIOR (CAMPINAS);A1;5;0;0;0;0;0;
1982-5765;AVALIAÇÃO: REVISTA DA AVALIAÇÃO DA EDUCAÇÃO SUPERIOR;A1;15;0;0;0;0;0;
2176-4573;BAKHTINIANA: REVISTA DE ESTUDOS DO DISCURSO;A1;0;1;0;0;0;0;
1980-4415;BOLEMA : BOLETIM DE EDUCAÇÃO MATEMÁTICA (ONLINE);A1;6;4;0;0;0;0;
0103-636X;BOLEMA. BOLETIM DE EDUCAÇÃO MATEMÁTICA (UNESP. RIO CLARO. IMPRESSO);A1;6;4;0;0;0;0;
0103-636X;BOLEMA (RIO CLARO);A1;0;4;0;0;0;0;
0142-5692;BRITISH JOURNAL OF SOCIOLOGY OF EDUCATION;A1;25;57;1.324;1.619;0.00204;0.563;
0007-5140 ;BULLETIN OF THE HISTORY OF MEDICINE;A1;9;25;0.667;0.707;0.00067;0.509;
0101-3262;CADERNOS CEDES (IMPRESSO);A1;3;5;0;0;0;0;
0100-1574;CADERNOS DE PESQUISA (FUNDAÇÃO CARLOS CHAGAS. IMPRESSO);A1;16;10;0;0;0;0;
1980-5314;CADERNOS DE PESQUISA (FUNDAÇÃO CARLOS CHAGAS. ONLINE);A1;16;0;0;0;0;0;
0101-3262;CADERNOS DO CEDES (UNICAMP);A1;0;5;0;0;0;0;
0008-4174;CANADIAN JOURNAL OF OCCUPATIONAL THERAPY (1939);A1;18;45;1.255;1.53;0.00075;0.35;
1980-850X;CIÊNCIA & EDUCAÇÃO;A1;12;0;0;0;0;0;
1980-850X;CIÊNCIA & EDUCAÇÃO (ONLINE);A1;0;0;0;0;0;0;
1516-7313;CIÊNCIA E EDUCAÇÃO (UNESP);A1;0;0;0;0;0;0;
1516-7313;CIÊNCIA E EDUCAÇÃO (UNESP. IMPRESSO);A1;0;0;0;0;0;0;
1134-3478;COMUNICAR (HUELVA);A1;33;18;2.212;2.165;0.00065;0.227;
1354-067X;CULTURE & PSYCHOLOGY;A1;16;36;0.828;0.945;0.00074;0.315;
0011-5258;DADOS (RIO DE JANEIRO. IMPRESSO);A1;6;18;0.292;0.331;0.00018;0.086;
1678-4626;EDUCAÇÃO & SOCIEDADE;A1;0;0;0;0;0;0;
0101-7330;EDUCAÇÃO & SOCIEDADE (IMPRESSO);A1;0;13;0;0;0;0;
0101-7330;EDUCAÇÃO & SOCIEDADE (IMPRESSO);A1;0;13;0;0;0;0;
1678-4634;EDUCAÇÃO E PESQUISA;A1;18;0;0;0;0;0;
1517-9702;EDUCAÇÃO E PESQUISA (USP);A1;0;9;0;0;0;0;
1517-9702;EDUCAÇÃO E PESQUISA (USP. IMPRESSO);A1;0;9;0;0;0;0;
1517-9702;EDUCAÇÃO E PESQUISA (USP.IMPRESSO);A1;0;9;0;0;0;0;
2175-6236;EDUCACAO E REALIDADE;A1;0;0;0;0;0;0;
0100-3143;EDUCAÇÃO E REALIDADE;A1;0;0;0;0;0;0;
2175-6236;EDUCAÇÃO E REALIDADE EDIÇÃO ELETRÔNICA;A1;0;0;0;0;0;0;
0101-7330;EDUCAÇÃO E SOCIEDADE;A1;0;13;0;0;0;0;
0102-4698;EDUCAÇÃO EM REVISTA (UFMG - IMPRESSO);A1;9;0;0;0;0;0;
0102-4698;EDUCAÇÃO EM REVISTA (UFMG - IMPRESSO);A1;0;0;0;0;0;0;
0102-4698;EDUCAÇÃO EM REVISTA (UFMG - IMPRESSO);A1;0;0;0;0;0;0;
1982-6621;EDUCAÇÃO EM REVISTA (UFMG - ONLINE);A1;9;0;0;0;0;0;
1984-6444;EDUCAÇÃO (SANTA MARIA. ONLINE);A1;10;0;0;0;0;0;
1676-2592;EDUCAÇÃO TEMÁTICA DIGITAL;A1;0;0;0;0;0;0;
0101-9031;EDUCAÇÃO (UFSM);A1;0;0;0;0;0;0;
0101-9031;EDUCAÇÃO (UFSM);A1;0;0;0;0;0;0;
1984-0411;EDUCAR EM REVISTA;A1;15;0;0;0;0;0;
0104-4060;EDUCAR EM REVISTA;A1;15;0;0;0;0;0;
0104-4060;EDUCAR EM REVISTA (IMPRESSO);A1;15;0;0;0;0;0;
0895-9048;EDUCATIONAL POLICY (LOS ALTOS. CALIF.);A1;27;37;1.03;1.079;0.00129;0.545;
0144-3410;EDUCATIONAL PSYCHOLOGY (DORCHESTER-ON-THAMES. PRINT);A1;26;45;1.31;1.515;0.00162;0.478;
0013-1954;EDUCATIONAL STUDIES IN MATHEMATICS;A1;35;46;0.959;1.37;0.00113;0.243;
1809-4465;ENSAIO - AVALIAÇÃO E POLÍTICAS PÚBLICAS EM EDUCAÇÃO;A1;13;0;0;0;0;0;
0104-4036;ENSAIO - AVALIAÇÃO E POLÍTICAS PÚBLICAS EM EDUCAÇÃO;A1;12;7;0;0;0;0;
0104-4036;ENSAIO - AVALIAÇÃO E POLÍTICAS PÚBLICAS EM EDUCAÇÃO;A1;12;7;0;0;0;0;
0212-4521;ENSEÑANZA DE LAS CIENCIAS;A1;14;8;0.549;0.603;0.00019;0.064;
